x,y,fb_velocity,fb_steering
-0.222347,0.291159,0.311643,0
-0.027963,0.231553,0.379334,0
0.15599,0.151109,0.316335,0
0.334832,0.0520322,0.351855,0
0.499831,-0.0667626,0.374642,0
0.649803,-0.203343,0.404801,0
0.789116,-0.356101,0.429599,0
0.912805,-0.518914,0.452386,0
1.02135,-0.694546,0.445013,0
1.11146,-0.881825,0.432279,0
1.17874,-1.07172,0.412173,0
1.22571,-1.26989,0.422226,0
1.25227,-1.4725,0.452386,0
1.25856,-1.67843,0.442333,0
1.24461,-1.87998,0.424907,0
1.2138,-2.0784,0.43496,0
1.16688,-2.28118,0.436971,0
1.10903,-2.47433,0.439652,0
1.04011,-2.66251,0.43496,0
0.95953,-2.84928,0.452386,0
0.866896,-3.03388,0.432279,0
0.762894,-3.21418,0.43496,0
0.649664,-3.38533,0.442333,0
0.529496,-3.54527,0.43496,0
0.395243,-3.70446,0.452386,0
0.254067,-3.85481,0.445013,0
0.107493,-3.99628,0.439652,0
-0.0426988,-4.1311,0.455066,0
-0.200415,-4.26445,0.426918,0
-0.357604,-4.3895,0.43496,0
-0.526561,-4.51132,0.432279,0
-0.702355,-4.62227,0.426918,0
-0.878569,-4.71804,0.436971,0
-1.06433,-4.8038,0.445013,0
-1.25239,-4.87446,0.426918,0
-1.44822,-4.93369,0.416865,0
-1.65077,-4.98066,0.447024,0
-1.84954,-5.01487,0.445013,0
-2.05074,-5.03935,0.442333,0
-2.25236,-5.05145,0.43496,0
-2.45345,-5.04766,0.445013,0
-2.65646,-5.02484,0.426918,0
-2.85483,-4.98094,0.445013,0
-3.05035,-4.91276,0.457077,0
-3.23156,-4.82463,0.439652,0
-3.40347,-4.71591,0.457077,0
-3.56516,-4.5861,0.429599,0
-3.71196,-4.44121,0.429599,0
-3.84052,-4.28472,0.432279,0
-3.95335,-4.11384,0.432279,0
-4.04795,-3.93052,0.419546,0
-4.12259,-3.73915,0.436971,0
-4.17686,-3.54484,0.465119,0
-4.21543,-3.3465,0.426918,0
-4.23847,-3.14555,0.424907,0
-4.24315,-2.94555,0.445013,0
-4.22837,-2.74395,0.457077,0
-4.1915,-2.5393,0.447024,0
-4.13263,-2.34019,0.436971,0
-4.05532,-2.1539,0.449705,0
-3.95778,-1.97215,0.447024,0
-3.84518,-1.8013,0.422226,0
-3.71639,-1.63812,0.432279,0
-3.57327,-1.48563,0.465119,0
-3.42383,-1.35051,0.449705,0
-3.26381,-1.22559,0.414854,0
-3.09665,-1.11312,0.416865,0
-2.92335,-1.01288,0.439652,0
-2.73724,-0.920788,0.424907,0
-2.54585,-0.839399,0.457077,0
-2.35361,-0.76915,0.445013,0
-2.15596,-0.708902,0.447024,0
-1.95496,-0.660204,0.452386,0
-1.7501,-0.623281,0.449705,0
-1.54833,-0.599834,0.426918,0
-1.3483,-0.590417,0.426918,0
-1.14604,-0.598746,0.445013,0
-0.94685,-0.624883,0.424907,0
-0.7486,-0.668714,0.419546,0
-0.550308,-0.732026,0.416865,0
-0.360812,-0.814727,0.43496,0
-0.186805,-0.916878,0.422226,0
-0.0269698,-1.04248,0.424907,0
0.112386,-1.19284,0.436971,0
0.224213,-1.36472,0.445013,0
0.308593,-1.5503,0.429599,0
0.364761,-1.7488,0.465119,0
0.391334,-1.95074,0.432279,0
0.389645,-2.15563,0.447024,0
0.363454,-2.35593,0.436971,0
0.314138,-2.55028,0.43496,0
0.2398,-2.74281,0.457077,0
0.144614,-2.92469,0.439652,0
0.0331683,-3.09173,0.449705,0
-0.0940907,-3.2482,0.426918,0
-0.238159,-3.39807,0.424907,0
-0.396074,-3.53429,0.43496,0
-0.564314,-3.64749,0.436971,0
-0.746814,-3.73742,0.445013,0
-0.9404,-3.80172,0.442333,0
-1.13799,-3.83938,0.426918,0
-1.33995,-3.85025,0.43496,0
-1.54427,-3.83418,0.426918,0
-1.74279,-3.79364,0.457077,0
-1.93955,-3.72994,0.447024,0
-2.12932,-3.64658,0.442333,0
-2.30435,-3.54851,0.424907,0
-2.47462,-3.43036,0.439652,0
-2.62747,-3.30062,0.429599,0
-2.77276,-3.15089,0.455066,0
-2.90227,-2.98882,0.447024,0
-3.01686,-2.81608,0.43496,0
-3.11322,-2.63809,0.447024,0
-3.19322,-2.44999,0.455066,0
-3.25401,-2.25551,0.452386,0
-3.29626,-2.05923,0.449705,0
-3.32144,-1.86033,0.419546,0
-3.32799,-1.65291,0.452386,0
-3.31425,-1.45223,0.457077,0
-3.28139,-1.2471,0.422226,0
-3.22589,-1.05178,0.424907,0
-3.14678,-0.867289,0.43496,0
-3.04666,-0.691973,0.424907,0
-2.93095,-0.528055,0.442333,0
-2.7995,-0.372165,0.445013,0
-2.65782,-0.23062,0.455066,0
-2.50211,-0.0987865,0.442333,0
-2.33417,0.0208592,0.432279,0
-2.15538,0.127072,0.43496,0
-1.971,0.214492,0.457077,0
-1.77842,0.283948,0.439652,0
-1.5769,0.335663,0.436971,0
-1.37944,0.369165,0.43496,0
-1.17933,0.387393,0.0904771,0
-0.976973,0.395064,0.329069,0
