x,y,fb_velocity,fb_steering
-5.44798,9.18768,0.842023,-0.0252899
-5.66746,9.27766,0.852513,-0.0267036
-5.85614,9.35604,0.849716,-0.023562
-6.07508,9.44866,0.844121,-0.0238762
-6.29323,9.5425,0.852513,-0.0237191
-6.47925,9.62405,0.842023,-0.0219912
-6.69777,9.72034,0.865102,-0.0219912
-6.92036,9.81882,0.873494,-0.0221483
-7.11274,9.90486,0.881187,-0.023562
-7.33678,10.0055,0.867899,-0.0237191
-7.55991,10.1072,0.87839,-0.0237191
-7.75235,10.1958,0.886083,-0.0574913
-7.97708,10.3008,0.886083,-0.108699
-8.19878,10.4083,0.875592,-0.124093
-8.38764,10.5055,0.891677,-0.124093
-8.60546,10.627,0.891677,-0.124093
-8.82135,10.754,0.896573,-0.123622
-9.00329,10.8674,0.891677,-0.123465
-9.21421,11.0068,0.909861,-0.123465
-9.42368,11.1542,0.917554,-0.123151
-9.61206,11.2895,0.928044,-0.122837
-9.7887,11.4383,0.928044,-0.122679
-9.98748,11.6058,0.928044,-0.151268
-10.1644,11.7605,0.904965,-0.176401
-10.345,11.9335,0.88888,-0.178757
-10.5222,12.1174,0.904965,-0.178757
-10.6659,12.281,0.907063,-0.178757
-10.8276,12.4796,0.917554,-0.178757
-10.9811,12.6851,0.912658,-0.178757
-11.1052,12.8656,0.912658,-0.178757
-11.2409,13.0805,0.904965,-0.177972
-11.3662,13.2988,0.896573,-0.177815
-11.4675,13.4917,0.909861,-0.1775
-11.5771,13.7213,0.867899,-0.1775
-11.6734,13.9457,0.867899,-0.1775
-11.7662,14.1901,0.773486,-0.167761
-11.8337,14.3929,0.758101,-0.132418
-11.9019,14.6227,0.728728,-0.107443
-11.9548,14.8182,0.728728,-0.0917347
-12.0126,15.0467,0.752506,-0.0775975
-12.0615,15.2546,0.770689,-0.0775975
-12.117,15.5027,0.800062,-0.0775975
-12.1629,15.7226,0.773486,-0.072571
-12.2096,15.9658,0.760199,-0.0722568
-12.2468,16.1753,0.734323,-0.0595333
-12.2857,16.407,0.739218,-0.03927
-12.3186,16.611,0.73712,-0.0306306
-12.3568,16.8501,0.779081,-0.0300023
-12.3906,17.067,0.786774,-0.0326726
-12.4277,17.3155,0.752506,-0.0444536
-12.4575,17.5238,0.723832,-0.0541926
-12.4884,17.7533,0.718237,-0.113569
-12.5151,17.9787,0.705649,-0.122208
-12.5348,18.1799,0.742015,-0.120009
-12.5496,18.3894,0.760199,-0.102102
-12.5615,18.6272,0.728728,-0.0623608
-12.5686,18.8427,0.621726,-0.0598475
-12.574,19.0641,0.595151,-0.0596904
-12.5769,19.2905,0.532209,-0.0598475
