type, id, x, y, theta, max_vx, max_vy, max_vtheta, radius_area, lookahead_distance, obs_scan_r, icp_score_max, scan_min_x, scan_max_x, scan_min_y, scan_max_y, obs_threshold
1,0,-1.4,-13.6,0,1,1,0.5,1.5,1.5,3,6.501,0.2,3,-1,1,3000000
32,1,-8,11.1,-0.78,1.7,1,0.5,1.5,2.8,3,1.001,0.2,3,-1.5,1.5,3000000
32,2,-10.8,15.6,-1.57,1.7,1,0.5,2,3,2,1.001,0.2,3,-1,1,3000000
32,3,-10.6,18.4,1.57,1.7,1,0.5,2,3,2.5,1.001,0.2,3,-1.5,1.5,3000000
32,4,-10.6,33.4,-1.57,1.7,1,0.5,2,3,2.5,1.001,0.2,3,-1.5,1.5,3000000
2,5,-10.2,36.8,1.57,1,1,0.5,2,3,2,1.001,0.2,3,-1,1,3000000
2,6,-12.2,40.2,1.57,1,1,0.5,2,1.5,2,1.001,0.2,3,-1,1,3000000
1,7,-193.4,53.4,-2.35,0.7,1,0.5,1.5,1.5,1,1.001,0.2,3,-1,1,3000000
32,8,-31.4,47.2,0,1.5,1,0.5,2,1.9,2,1.001,0.2,3,-1,1,3000000
32,9,-34,47,0,1.7,1,0.5,2,3,2,1.001,0.2,3,-1,1,3000000
32,10,-39.6,46.9,0,1.8,1,0.5,2,3,2,1.001,0.2,3,-1,1,3000000
32,11,-37.5,46.9,3.14,1.97,1,0.5,2,3,3,1.001,0.2,3,-1,1,3000000
32,12,-91.6,43.9,0,1.97,1,0.5,2,3,3,1.001,0.2,3,-1,1,3000000
2,13,-87.9,43.9,3.14,1.5,1,0.5,2,3,2,1.001,0.2,3,-1,1,3000000
2,14,-90.5,43.9,3.14,1,1,0.5,2,3,2,1.001,0.2,3,-1,1,3000000
2,15,-93.5,43.7,3.14,1,1,0.5,1.5,1.5,2,1.001,0.2,3,-1,1,3000000
2,16,-113.54,51.5,0,1.5,1,0.5,1.5,1.5,2,1.001,0.2,3,-1,1,3000000
2,17,-116.54,51.5,0,1.5,1,0.5,1.5,3,2,1.001,0.2,3,-1,1,3000000
2,18,-121.54,51.5,0,1.5,1,0.5,1.5,3,2,1.001,0.2,3,-1,1,3000000
32,19,-119.04,51.5,3.14,1.97,1,0.5,1.5,3,3,1.001,0.2,3,-2,2,3000000
32,20,-175.54,49.5,0,1.97,2,0.5,1.5,3,3,1.001,0.2,3,-1.5,2,3000000
2,21,-173.54,49.5,3.14,1.5,2,0.5,1.5,3,2,1.001,0.2,3,-1,1,3000000
2,22,-179,49.5,3.14,1,1,0.5,1.5,3,2,1.001,0.2,3,-1,1,3000000
2,23,-182,49.5,3.14,1,1,0.5,1.5,1.5,2,1.001,0.2,3,-1.2,1.2,3000000
2,24,1.9,-8.7,3.14,1,1,0.5,1.5,1.5,2,6.501,0.2,3,-1,1,3000000
2,25,-194.7,50.2,-0.78,0.7,1,0.5,1.5,1.5,1,3.001,0.2,3,-1,1,3000000
32,26,7.3,-4.2,1.57,1.5,1,0.5,1.5,1.9,2.7,1.001,0.2,3,-1,1,3000000
2,27,7.3,0,-1.57,1,1,0.5,1.5,1.5,2,1.001,0.2,3,-1,1,3000000
2,28,-25.3,47,0,1,1,0.5,1.5,1.5,2,1.001,0.2,3,-1,1,3000000
32,29,-101.3,44.5,2.35,1.7,1,0.5,1.5,2,2,1.001,0.2,3,-1,1,3000000
32,30,-26.3,47,3.14,1.7,1,0.5,1.5,2,2,1.001,0.2,3,-1,1,3000000
32,31,-185,49.7,0,1,1,0.5,1,2,2,1.001,0.2,3,-1.2,1.2,3000000
32,32,-110.54,50.7,-0.78,1.5,1,0.5,1.5,1.9,2,1.001,0.2,3,-1,1,3000000
2,33,-100.5,45.1,-0.78,1,1,0.5,1.9,1.5,2,1.001,0.2,3,-1,1,3000000
32,34,-180,49.7,0,1.5,1,0.5,1,2,2,1.001,0.2,3,-1.2,1.2,3000000
32,35,-185,43.7,0,1.7,1,0.5,1.6,2.8,2,1.001,0.2,3,-1,1,3000000
2,36,-123.54,46.2,0,1,1,0.5,1.5,2.8,2,1.001,0.2,3,-1,1,3000000
2,37,-121.54,46.2,0,1,1,0.5,1.5,1.5,2,1.001,0.2,3,-1,1,3000000
32,38,-93.5,38.7,0,1.97,1,0.5,1.5,3,3,1.001,0.2,3,-1.2,1.2,3000000
2,39,-26.3,41.7,0,1.1,1,0.5,1.5,3,2,1.001,0.2,3,-1,1,3000000
2,40,-23.3,41.7,0,1,1,0.5,1.5,1.5,2,1.001,0.2,3,-1,1,3000000
32,41,-15.6,33.4,-1.57,1.7,1,0.5,2,3,2.5,1.001,0.2,3,-1.5,1.5,3000000
2,42,-17,0,-1.57,1,1,0.5,1.5,1.5,2,1.001,0.2,3,-1,1,3000000
