x,y,fb_velocity,fb_steering
6.71453,-4.00984,0.382547,-0.0062832
6.71452,-3.80148,0.676276,0.011781
6.71438,-3.57054,0.944129,0.0186925
6.7137,-3.36795,1.1931,0.0317302
6.71211,-3.12922,1.298,0.0617324
6.70914,-2.92389,1.298,0.0760267
6.70301,-2.69958,1.28471,0.0870223
6.69441,-2.49345,1.28471,0.0895356
6.6825,-2.28926,1.26653,0.0893785
6.66735,-2.0865,1.27702,0.0896927
6.64556,-1.87219,1.27702,0.0933055
6.6231,-1.66822,1.28471,0.107129
6.59683,-1.46395,1.28471,0.117339
6.56586,-1.25694,1.31129,0.123465
6.52853,-1.05316,1.34276,0.124407
6.48671,-0.842406,1.34276,0.124564
6.43987,-0.632016,1.35045,0.124879
6.3877,-0.422013,1.35045,0.124407
6.32958,-0.21086,1.37143,0.125664
6.26315,-0.00176187,1.4085,0.132261
6.19201,0.211956,1.4085,0.141215
6.11419,0.426246,1.43438,0.144042
6.02951,0.639713,1.43438,0.144199
5.93819,0.851279,1.43997,0.144357
5.83976,1.06037,1.45536,0.145142
5.73459,1.26816,1.45536,0.154881
5.62301,1.47244,1.45256,0.16352
5.50478,1.67269,1.45046,0.169489
5.37767,1.86875,1.45046,0.167919
5.24576,2.05984,1.45046,0.165562
5.10695,2.24601,1.45046,0.163834
4.9605,2.42823,1.46865,0.161792
4.83788,2.61517,1.46865,0.154724
4.67196,2.78267,1.47634,0.154095
4.49997,2.9447,1.48193,0.150011
4.32221,3.10148,1.48193,0.148598
4.13975,3.25225,1.45815,0.140744
3.95424,3.39606,1.45815,0.12535
3.76456,3.53443,1.47354,0.106343
3.5704,3.66823,1.45536,0.0879648
3.37511,3.79612,1.45536,0.0834095
3.1794,3.922,1.45046,0.0612612
2.98092,4.04226,1.45046,0.0422545
2.78152,4.15955,1.44207,0.0325156
2.58123,4.2749,1.46095,0.0153938
2.3812,4.39289,1.46095,0.00769692
2.17901,4.50687,1.43158,-0.00612612
1.97922,4.6192,1.43158,-0.00581196
1.77936,4.7321,1.43717,-0.00534072
1.58148,4.84981,1.44766,-0.00298452
1.38054,4.96485,1.44766,0.00282744
1.1791,5.08034,1.45815,0.00219912
0.976654,5.19626,1.45815,0.00282744
0.775052,5.31167,1.45046,0.00329868
0.576214,5.43052,1.46865,0.003927
0.372816,5.54775,1.46865,0.00502656
0.169733,5.6649,1.45815,0.00801108
-0.0324375,5.78137,1.45815,0.0109956
-0.236857,5.89879,1.47634,0.0116239
-0.442301,6.01529,1.45815,0.0119381
-0.645341,6.13045,1.45815,0.0120952
-0.849582,6.24573,1.47144,0.011781
-1.05493,6.36091,1.50501,0.0149226
-1.85345,7.12912,1.54487,0.0210487
-2.06776,7.25508,1.57075,0.0179071
-2.28499,7.38148,1.57075,0.0128806
-2.50824,7.51054,1.62041,0.0127235
-2.73291,7.63975,1.60991,0.00534072
-2.84678,7.81489,1.60991,0.00565488
-3.06701,7.94193,1.54487,0.00188496
-3.28142,8.06544,1.54487,-0.0023562
-3.48955,8.18515,1.46865,-0.0120952
-3.69326,8.30248,1.44207,-0.0380134
-3.82095,8.4871,1.42668,-0.0331439
-4.02222,8.59513,1.42668,-0.0442966
-4.2207,8.70387,1.39242,-0.025447
-4.41518,8.81262,1.39242,-0.0306306
-4.60686,8.92346,1.43717,-0.0365996
-4.80685,9.03866,1.48403,-0.0344005
-5.01135,9.15854,1.48403,-0.045239
-5.21601,9.28086,1.50291,-0.0592192
-5.41898,9.40629,1.50291,-0.0669161
-5.62116,9.53405,1.49242,-0.0669161
-5.82113,9.66442,1.49242,-0.0669161
-6.01934,9.79769,1.49242,-0.066759
-6.21738,9.93892,1.49452,-0.0661307
-6.41148,10.0786,1.49452,-0.0664448
-6.60517,10.2222,1.51061,-0.0702148
-6.79682,10.3687,1.48683,-0.072728
-6.98373,10.5163,1.48683,-0.084352
-7.1676,10.6686,1.50012,-0.0904781
-7.35036,10.8242,1.50291,-0.090321
-7.53033,10.9835,1.50291,-0.0925201
-7.70738,11.147,1.51061,-0.0947192
-7.88071,11.3147,1.51061,-0.0988033
-8.05222,11.4878,1.53159,-0.103359
-8.22065,11.6659,1.54208,-0.103987
-8.38565,11.8489,1.54208,-0.107443
-8.54462,12.0385,1.53928,-0.116082
-8.70021,12.2295,1.53928,-0.123465
-8.85,12.4245,1.53438,-0.132576
-8.99369,12.6233,1.52599,-0.136345
-9.08253,12.8627,1.52599,-0.136817
-9.2109,13.0702,1.52389,-0.13666
-9.33288,13.2813,1.52389,-0.14043
-9.44821,13.4961,1.52389,-0.142629
-9.55219,13.7146,1.5134,-0.142629
-9.65239,13.9351,1.5134,-0.142629
-9.74568,14.1597,1.52599,-0.142157
-9.83188,14.3881,1.52389,-0.142157
-9.91079,14.6188,1.52389,-0.141843
-9.98244,14.8522,1.52879,-0.137759
-10.0447,15.0881,1.52879,-0.13179
-10.1014,15.327,1.53928,-0.121109
-9.96598,18.5206,1.50781,-0.0252899
-9.97102,18.7618,1.50781,-0.0201062
-9.97478,19.0027,1.49452,-0.0205775
-9.97758,19.242,1.49452,-0.0204204
-9.97927,19.4824,1.5183,-0.0201062
-9.97869,19.7004,1.5183,-0.0199492
-9.97879,19.941,1.50012,-0.0197921
-9.97785,20.1813,1.5134,-0.0201062
-9.97589,20.4233,1.5134,-0.017593
-9.97304,20.6652,1.51061,-0.0171217
-9.95781,20.8981,1.50501,-0.0171217
-9.95331,21.139,1.50501,-0.0169646
-9.94795,21.3801,1.5183,-0.0169646
-9.94179,21.6228,1.5183,-0.0155509
