x,y,fb_velocity,fb_steering
-10.1013,17.1001,0,0.00424116
-10.1065,17.3035,0.414018,-0.00439824
-10.1158,17.5195,0.455979,-0.0518364
-10.1219,17.7228,0.469267,-0.0562346
-10.1373,17.9374,0.455979,-0.0560776
-10.1369,18.1501,0.506333,-0.0548209
-10.1397,18.3596,0.595151,-0.0494802
-10.1426,18.5836,0.707747,-0.0483806
-10.1437,18.7988,0.836428,-0.0469669
-10.1441,19.0015,0.836428,-0.0468098
-10.1436,19.2072,0.863004,-0.0457103
-10.1421,19.4191,0.896573,-0.035343
-10.1372,19.6556,0.941332,-0.035343
-10.1348,19.8874,1.00148,-0.035343
-10.1325,20.0914,1.06442,-0.0356572
-10.13,20.325,1.11687,-0.0356572
-10.127,20.5472,1.11687,-0.0358142
-10.1233,20.7774,1.16722,-0.0358142
-10.115,21.0154,1.20079,-0.0358142
-10.1104,21.2558,1.20079,-0.0358142
-10.1052,21.4962,1.20079,-0.0356572
-10.0993,21.7355,1.1931,-0.0356572
-10.0908,21.9417,1.21967,-0.0356572
-10.0831,22.1854,1.22737,-0.0356572
-10.0741,22.4307,1.22737,-0.0356572
-10.0381,22.6423,1.21967,-0.0336151
-10.0287,22.8868,1.23017,-0.0226195
-10.019,23.1336,1.26933,-0.0226195
-10.011,23.3363,1.26933,-0.0240332
-10.0029,23.5408,1.30849,-0.0290598
-9.99428,23.7501,1.33996,-0.0317302
-9.9851,23.9635,1.33996,-0.0323585
-9.9757,24.1794,1.38752,-0.0309448
-9.96531,24.4008,1.38752,-0.0309448
-9.95448,24.6245,1.42109,-0.0309448
-9.94306,24.8517,1.43438,-0.031416
-9.93839,25.1856,1.43438,-0.0320443
-9.92389,25.4142,1.4057,-0.0320443
-9.90897,25.6391,1.4057,-0.0318872
-9.89364,25.8612,1.37913,-0.0317302
-9.87121,26.092,1.37423,-0.0312589
-9.85563,26.3116,1.37423,-0.0292169
-9.83948,26.5308,1.36654,-0.0265465
-9.82282,26.749,1.36654,-0.0197921
-9.80581,26.9655,1.35045,-0.0186925
-9.79226,27.1868,1.35325,-0.0100531
-9.77437,27.4025,1.35325,-0.00424116
-9.75642,27.6183,1.35325,-0.00408408
-9.73867,27.8341,1.35325,-0.00408408
-9.71871,28.041,1.35605,-0.00376992
-9.7017,28.2573,1.35325,-0.00329868
-9.68522,28.4732,1.35325,0.00094248
-9.66945,28.6886,1.34276,0.00282744
-9.65813,28.9091,1.34276,0.00298452
-9.64399,29.1202,1.3057,0.00298452
-9.63065,29.3284,1.29521,0.00361284
-9.61792,29.5354,1.29521,0.00659736
-9.5963,29.7583,1.25115,0.0070686
-9.58633,29.9582,1.28262,0.0070686
-9.57708,30.1622,1.28262,0.00691152
-9.56865,30.3669,1.27702,0.00219912
-9.56106,30.5711,1.27702,0.00801108
-9.56411,30.7872,1.28751,0.00675444
-9.55805,30.9936,1.31409,0.00094248
-9.5528,31.2035,1.31409,0.00015708
-9.54826,31.4143,1.32458,-0.00015708
