x,y,fb_velocity,fb_steering
-9.85479,14.3553,0,-0.00361284
-9.87529,14.5567,0.416815,-0.0417833
-9.8958,14.7635,0.548294,-0.0395842
-9.91567,14.9666,0.686766,-0.0409979
-9.93556,15.1706,0.815448,-0.0543497
-9.95457,15.3727,0.933639,-0.0675444
-9.97418,15.5977,1.00987,-0.0742988
-9.98985,15.7985,1.05952,-0.0738276
-10.0044,16.009,1.05952,-0.0713143
-10.0173,16.2234,1.0882,-0.0640886
-10.0283,16.4431,1.12736,-0.0578054
-10.0373,16.6684,1.14834,-0.0516793
-10.044,16.8975,1.14834,-0.0428828
-10.0489,17.129,1.16722,-0.0425687
-10.0523,17.3628,1.17212,-0.043197
-10.0543,17.5972,1.18541,-0.0441395
-10.0551,17.834,1.18541,-0.0444536
-10.0543,18.0729,1.19869,-0.0433541
-10.0519,18.3153,1.24066,-0.0257611
-10.0485,18.565,1.3057,-0.00565488
-10.0454,18.7735,1.3057,-0.00408408
-10.0426,18.9851,1.35045,-0.00047124
-10.0401,19.2011,1.39801,-0.00219912
-10.0379,19.422,1.39801,-0.00408408
-10.036,19.6462,1.42109,-0.0054978
-10.0347,19.8734,1.42109,-0.0108385
-10.0339,20.1024,1.44766,-0.0153938
-10.0335,20.334,1.43717,-0.0226195
-10.0331,20.5647,1.43717,-0.0378563
-10.0322,20.7946,1.43717,-0.0387988
-10.0304,21.0245,1.43717,-0.0358142
-10.0275,21.2521,1.40011,-0.0350288
-10.0236,21.4762,1.38962,-0.0309448
-10.0187,21.6988,1.38962,-0.0289027
-10.0132,21.9208,1.38193,-0.0303164
-10.0071,22.1419,1.38193,-0.0296881
-10.0003,22.3621,1.37423,-0.0282744
-9.9929,22.5819,1.34766,-0.0263894
-9.98545,22.798,1.34766,-0.0301594
-9.97771,23.0142,1.37703,-0.00534072
-9.96916,23.2341,1.37703,-0.00581196
-9.96041,23.4572,1.4057,-0.00565488
-9.9519,23.6819,1.4057,-0.00502656
-9.94363,23.9067,1.4057,-0.00848232
-9.93556,24.1321,1.43158,-0.0103673
-9.92766,24.3608,1.43158,-0.0109956
-9.91975,24.5917,1.45046,-0.015708
-9.91186,24.8236,1.42389,-0.0171217
-9.90415,25.0519,1.42389,-0.0171217
-9.8963,25.281,1.44766,-0.0171217
-9.88862,25.5125,1.44766,-0.0171217
-9.88093,25.745,1.45815,-0.0161792
-9.87331,25.9782,1.45815,-0.0197921
-9.86569,26.2114,1.45815,-0.0199492
-9.85795,26.4447,1.46095,-0.0201062
-9.85024,26.6783,1.44766,-0.017593
-9.84274,26.9107,1.44766,-0.0180642
-9.83524,27.1421,1.44207,-0.0179071
-9.82771,27.3727,1.44207,-0.0174359
-9.82006,27.6027,1.43158,-0.0171217
-9.81232,27.8316,1.42668,-0.0172788
-9.80443,28.06,1.42668,-0.0166505
-9.79644,28.2884,1.43438,-0.011781
-9.78845,28.5177,1.43438,-0.0161792
-9.78083,28.7444,1.39242,-0.0155509
-9.77356,28.9672,1.39801,-0.0146084
-9.76605,29.1906,1.39801,-0.0141372
-9.75829,29.4143,1.40291,-0.0135089
-9.75062,29.6386,1.40291,-0.00596904
-9.74348,29.8614,1.37703,-0.00596904
-9.73694,30.0817,1.37913,-0.00769692
-9.73095,30.3022,1.37913,-0.0146084
-9.72549,30.5224,1.36374,-0.0361284
-9.7205,30.7406,1.36374,-0.0351859
-9.71511,30.9603,1.37913,-0.0296881
-9.70909,31.1809,1.37703,-0.0290598
-9.70251,31.4011,1.37703,-0.0287456
-9.69533,31.6213,1.37703,-0.0141372
-9.68749,31.8415,1.37703,-0.00801108
-9.6793,32.0614,1.37423,-0.0007854
-9.67133,32.2812,1.37913,0.00345576
-9.66373,32.5016,1.37913,0.00486948
-9.65656,32.7228,1.38962,0.0130376
-9.64995,32.945,1.38962,0.0271748
-9.64441,33.1652,1.36864,0.0453961
-9.64043,33.3844,1.37703,0.0505798
-9.63855,33.6046,1.37703,0.0505798
-9.63959,33.8234,1.35325,0.0505798
-9.64346,34.04,1.33996,0.0505798
-9.65002,34.2551,1.33996,0.0505798
-9.65928,34.4696,1.35325,0.0504227
-9.67138,34.6857,1.35325,0.0504227
-9.68626,34.9006,1.33507,0.0507368
-9.70359,35.1135,1.34556,0.0560776
-9.72343,35.3273,1.34556,0.064874
-9.74605,35.541,1.33227,0.076498
-9.77178,35.7527,1.33227,0.0940909
-9.80129,35.9625,1.31129,0.101788
-9.83486,36.1697,1.26653,0.102102
-9.87214,36.3698,1.26653,0.102102
-9.91386,36.5673,1.23786,0.102102
-9.97186,36.8082,1.24555,0.102102
-10.0373,37.048,1.24555,0.102102
-10.1101,37.2863,1.24555,0.100531
-10.19,37.5223,1.25115,0.0951905
-10.2594,37.7101,1.25115,0.0958188
-10.3333,37.8966,1.25604,0.0958188
-10.4113,38.0818,1.3057,0.0977038
-10.496,38.2717,1.3057,0.102887
-10.5854,38.46,1.29031,0.104458
-10.6781,38.6446,1.29031,0.103202
-10.7759,38.8291,1.31409,0.0992746
-10.8789,39.0124,1.34556,0.0854515
-10.9882,39.1971,1.34556,0.0835666
-11.102,39.3799,1.34556,0.0793254
-11.2197,39.5601,1.34556,0.0813674
-11.3419,39.7393,1.36094,0.0819958
-11.4683,39.9166,1.38472,0.0826241
-11.6003,40.0938,1.38472,0.0840378
